,100000,250000,500000,750000,1000000
Heap Sort,0.8694201000000006,2.4121967999999994,5.4131328,8.6539983,11.5698985
Quick Sort,0.33085999999999416,0.9476879999999994,2.2925565999999975,3.789457999999996,5.4116243
Merge Sort,0.5611045000000061,1.5376163000000034,3.4582695,5.726269000000002,7.587351600000005
Radix Sort,0.4138339000000002,1.170874100000006,2.5035900999999967,3.7788267999999903,5.372926300000003
Bucket Sort,0.10853729999999473,0.26721329999999455,0.8505209000000065,1.057540099999997,1.6136929999999978
Tim Sort,0.5069869999999952,1.4310112999999944,3.2068748000000085,5.200406100000009,6.519071199999999
